bucket,datetime,trade_count,size_sum,amount_sum,vwap,avg_trade_size,max_trade_size,midpoint,midpoint_return,abs_midpoint_return,spread,spread_pct,bid_depth_top5,ask_depth_top5,total_depth,depth_change,depth_imbalance,depth_drop,abs_depth_imbalance,market_file,market_stem
1770625380,2026-02-09 08:23:00,1,10000.0,30.0,0.0029999999999997,30.0,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1303357_YES.csv,1303357_YES
1770630120,2026-02-09 09:42:00,1,10000.0,20.0,0.0019999999999998,20.0,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1303357_YES.csv,1303357_YES
1770631080,2026-02-09 09:58:00,1,7953.333332,23.86,0.003000000000502522,23.86,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1303357_YES.csv,1303357_YES
1770654300,2026-02-09 16:25:00,1,5000.0,15.0,0.0029999999999994,15.0,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1303357_YES.csv,1303357_YES
1770656220,2026-02-09 16:57:00,1,13019.16,39.05748,0.0029999999999997693,39.05748,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1303357_YES.csv,1303357_YES
1770667260,2026-02-09 20:01:00,1,13210.16,39.63048,0.002999999999999773,39.63048,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1303357_YES.csv,1303357_YES
1770685020,2026-02-10 00:57:00,1,250.0,1.0,0.003999999999984,1.0,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1303357_YES.csv,1303357_YES
1770688620,2026-02-10 01:57:00,1,572.0,2.2880000000000003,0.003999999999993007,2.2880000000000003,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1303357_YES.csv,1303357_YES
1770697200,2026-02-10 04:20:00,1,572.0,2.2880000000000003,0.003999999999993007,2.2880000000000003,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1303357_YES.csv,1303357_YES
1770708180,2026-02-10 07:23:00,1,1144.0,3.432,0.0029999999999973776,3.432,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1303357_YES.csv,1303357_YES
1770708240,2026-02-10 07:24:00,1,572.0,2.2880000000000003,0.003999999999993007,2.2880000000000003,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1303357_YES.csv,1303357_YES
1770708480,2026-02-10 07:28:00,1,572.0,1.716,0.002999999999994755,1.716,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1303357_YES.csv,1303357_YES
