bucket,datetime,trade_count,size_sum,amount_sum,vwap,avg_trade_size,max_trade_size,midpoint,midpoint_return,abs_midpoint_return,spread,spread_pct,bid_depth_top5,ask_depth_top5,total_depth,depth_change,depth_imbalance,depth_drop,abs_depth_imbalance,market_file,market_stem
1770893160,2026-02-12 10:46:00,1,2.02,1.92304,0.9519999995287127,1.92304,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,572469_YES.csv,572469_YES
1770893220,2026-02-12 10:47:00,1,4.04,3.84204,0.9509999997646039,3.84204,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,572469_YES.csv,572469_YES
1770893340,2026-02-12 10:49:00,2,144.7,137.5097,0.9503089149899774,68.75485,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,572469_YES.csv,572469_YES
1770893400,2026-02-12 10:50:00,1,5.247107,4.989998,0.9509998555487815,4.989998,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,572469_YES.csv,572469_YES
1770893460,2026-02-12 10:51:00,2,91.94,87.39024,0.9505138133461986,43.69512,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,572469_YES.csv,572469_YES
1770893520,2026-02-12 10:52:00,1,47.24,44.878,0.9499999999798899,44.878,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,572469_YES.csv,572469_YES
1770893580,2026-02-12 10:53:00,3,103.52,98.39201,0.9504637751067382,32.797336666666666,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,572469_YES.csv,572469_YES
1770893640,2026-02-12 10:54:00,2,279.24,265.55724,0.9509999999965942,132.77862,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,572469_YES.csv,572469_YES
1770893700,2026-02-12 10:55:00,1,174.24,165.528,0.9499999999945478,165.528,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,572469_YES.csv,572469_YES
1770893760,2026-02-12 10:56:00,1,51.1,48.5961,0.9509999999813895,48.5961,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,572469_YES.csv,572469_YES
1770893820,2026-02-12 10:57:00,1,51.1,48.545,0.949999999981409,48.545,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,572469_YES.csv,572469_YES
